Date;Lever;(Az.);Passage au Méridien;(Haut.);Coucher;(Az.)
01/01/2020;07:20;302°18';11:47:26;22°54';16:14;57°44'
02/01/2020;07:20;302°10';11:47:55;22°59';16:15;57°52'
03/01/2020;07:20;302°2';11:48:22;23°4';16:16;58°0'
04/01/2020;07:20;301°53';11:48:50;23°10';16:17;58°9'
05/01/2020;07:20;301°43';11:49:17;23°17';16:18;58°19'
06/01/2020;07:20;301°33';11:49:44;23°24';16:19;58°30'
07/01/2020;07:20;301°22';11:50:10;23°31';16:20;58°41'
08/01/2020;07:20;301°11';11:50:36;23°39';16:21;58°53'
09/01/2020;07:19;300°59';11:51:01;23°47';16:22;59°5'
10/01/2020;07:19;300°46';11:51:26;23°56';16:23;59°18'
11/01/2020;07:19;300°32';11:51:50;24°5';16:24;59°32'
12/01/2020;07:18;300°18';11:52:13;24°14';16:25;59°46'
13/01/2020;07:18;300°4';11:52:36;24°24';16:26;60°1'
14/01/2020;07:18;299°48';11:52:58;24°34';16:28;60°17'
15/01/2020;07:17;299°32';11:53:20;24°45';16:29;60°33'
16/01/2020;07:17;299°16';11:53:41;24°56';16:30;60°50'
17/01/2020;07:16;298°59';11:54:01;25°8';16:31;61°7'
18/01/2020;07:15;298°41';11:54:21;25°20';16:33;61°25'
19/01/2020;07:15;298°23';11:54:40;25°32';16:34;61°43'
20/01/2020;07:14;298°4';11:54:58;25°45';16:35;62°2'
21/01/2020;07:13;297°45';11:55:16;25°58';16:37;62°21'
22/01/2020;07:13;297°25';11:55:33;26°11';16:38;62°41'
23/01/2020;07:12;297°5';11:55:49;26°25';16:39;63°2'
24/01/2020;07:11;296°44';11:56:04;26°39';16:41;63°23'
25/01/2020;07:10;296°23';11:56:19;26°54';16:42;63°44'
26/01/2020;07:09;296°1';11:56:32;27°9';16:43;64°6'
27/01/2020;07:08;295°39';11:56:45;27°24';16:45;64°29'
28/01/2020;07:07;295°17';11:56:57;27°39';16:46;64°52'
29/01/2020;07:06;294°53';11:57:09;27°55';16:47;65°15'
30/01/2020;07:05;294°30';11:57:19;28°11';16:49;65°39'
31/01/2020;07:04;294°6';11:57:29;28°28';16:50;66°3'
01/02/2020;07:03;293°42';11:57:37;28°45';16:51;66°27'
